OID_,bld_name_e,bld_name_c,bld_address,bld_ac_type,bld_year,bld_passenger,bld_service,bld_starting_oper,bld_opr_hrs,bld_start_opr_weekend,bld_opr_hrs_weekend,x,y,ELABEL,retail,parking,office,hotel,food,ghi,wind10m,td_cdd,LULCM,ndvi,ndbi,BH,podium,area,highrise,area_1,Dist_mtr,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
2912,Hi-Tech Industrial Centre Block A,嘉力工業中心A座,"5-21 Pak Tin Par Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1989,,,,,,,829397.158,826158.664,TSUEN WAN WEST STATION,345.6504822,178.9767761,312.5858765,0,288.6985168,1423.379028,1.7097902,2.507078853,11,0.1761194,-0.0581916,16.7606392,1,5911,1,3160,742.1094731,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2913,Golden Bear Industrial Centre,金熊工業中心,"66-82 Chai Wan Kok Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1980,4,16,,,,,829226.1498,826000.9275,TSUEN WAN WEST STATION,835.5437012,89.0115509,913.0106201,0,433.8540344,1431.415039,3.8618071,2.507078853,21,0.0890667,0.0280819,83.3532028,1,856,1,962,607.4289311,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2914,Wing Fung Industrial Building,榮豐工業大廈,"40-50 Sha Tsui Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1980,,,,,,,829276,826043,TSUEN WAN WEST STATION,1316.049683,31.4952927,897.3894653,0,939.2929688,1431.415039,2.1409533,2.507078853,21,0.0900876,0.0033566,93.673027,1,3001,1,3240,637.0732843,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2915,UML Tower,豐盛中心,"42-44 Fui Yiu Kok Street, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1971,1,0,,,,,830210,825190,TSUEN WAN WEST STATION,222.337738,123.3579102,1988.774658,0,303.6318665,1431.415039,2.5674841,2.61452509,21,0.0834532,0.1972281,34.4285202,1,850,1,395,848.8190777,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2916,99 Plaza,,"99 Tai Ho Road, Tsuen Wan, Kowloon, Hong Kong",Central Air-Conditioning System,1999,,,,,,,830090.0227,825944.9547,TSUEN WAN STATION,0,0,0,0,0,1429.95398,2.1853256,2.542894266,41,0.0722403,0.0848632,13.8236389,0,,0,,136.0009457,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2917,Tsuen Wan Hoover Plaza,荃灣豪華廣場,"118 Chuen Lung Street, Tsuen Wan, Kowloon, Hong Kong",Central Air-Conditioning System,1995,,,,,,,829949.3555,825610.774,TSUEN WAN STATION,1567.518799,0,149.8882904,100.1525955,968.335083,1434.702026,2.2883053,2.542894266,41,0.1341362,0.1391647,4.1973257,0,,0,,496.6531346,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2918,Goodman Global Gateway,嘉民國際訊通中心,"168 Yeung Uk Road, Tsuen Wan, Kowloon, Hong Kong",Individual Air-Conditioning System,1999,,,,,,,830439.4466,825166.6702,TAI WO HAU STATION,99.061409,84.8674011,181.0724182,0,34.8540649,1422.284058,2.9863093,2.650340502,41,0.1379811,0.0410037,7.2704782,0,,0,,765.3478042,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2919,Tsuen Wan Industrial Centre,荃灣工業中心,"220-248 Texaco Road, Tsuen Wan, Kowloon, Hong Kong",Individual Air-Conditioning System,1980,4,6,,,,,830023.7749,825008.0245,TSUEN WAN WEST STATION,0,0,0,0,0,1435.067017,3.3507547,2.650340502,41,0.186014,0.0855499,4.0743246,0,,0,,752.3814604,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2920,Texaco Centre,德高中心,"126-140 Texaco Road, Tsuen Wan, Kowloon, Hong Kong",Individual Air-Conditioning System,1988,,,,,,,830023.7749,825008.0245,TSUEN WAN WEST STATION,0,0,0,0,0,1435.067017,3.3507547,2.650340502,41,0.186014,0.0855499,4.0743246,0,,0,,752.3814604,,,,NO,NO,NO,NO,NO,,,,,,,,,,
2921,Hale Weal Industrial Building,合福工業大廈,"22-28 Tai Chung Road, Tsuen Wan, New Territories, Hong Kong",Individual Air-Conditioning System,1991,1,2,,,,,829450,826072,TSUEN WAN WEST STATION,777.6976318,84.2222366,202.745575,0,281.9490662,1423.379028,1.7097902,2.507078853,21,0.1087786,0.1597975,70.6495438,1,964,1,1086,657.9905291,,,,NO,NO,NO,NO,NO,,,,,,,,,,
