full_addr_,full_addr1,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
"Kolling Centre, 77 GRANVILLE ROAD","開麟中心, 加連威老道77號",842.29,233.97,2.369160175,NO,NO,NO,NO,NO,NONE,NONE,NONE,19,0,19,yes,,,
"KOON FOOK CENTRE, 9 KNUTSFORD TERRACE","冠福中心, 諾士佛臺9號",125.41,34.84,1.542078146,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,52,yes,yes,,
"Kowloon Building, 555 Nathan Road, Yau Ma Tei, Kowloon","九龍行, 九龍油麻地彌敦道555號",482.61,134.06,2.127299215,NO,YES,YES,YES,NO,2015,9/1/2017,retro_after,23,0,110,yes,,,
"Kowloon Centre, 29-39 Ashley Rd, Tsim Sha Tsui, Kowloon","九龍中心, 九龍尖沙咀亞士厘道29-39號",325.07,90.3,1.95568775,NO,NO,YES,YES,NO,2018,12/9/2020,retro_after,15,0,79,yes,yes,,
"Kundamal House, 4 Prat Ave, Tsim Sha Tsui, Kowloon","金帝行, 九龍尖沙咀寶勒巷4號",81.8,22.72,1.356408327,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,0,35,yes,yes,,
"Kuo Wah Building, 340-342 Hennessy Road, Wan Chai, Hong Kong","國華大樓 , 香港灣仔軒尼詩道340-342號",72.15,20.04,1.301897717,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,16,yes,,,
"Kwai Hung Holding Centre, 89 King's Road, North Point, Hong Kong","桂洪中心, 香港北角英皇道89號",114.25,31.74,1.501606922,NO,NO,NO,NO,NO,NONE,NONE,NONE,29,0,116,yes,,,
"Kwong Chiu Terrace (Block C), 2-6 Fortress Hill Road, North Point, Hong Kong","光超台C座, 香港北角炮台山道2-6號",28.78,7.99,0.902546779,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,104,yes,yes,,
"Kwong Fat Commercial Building, 582-588 Canton Rd, Yau Ma Tei, Kowloon","廣發商業大廈, 九龍油麻地廣東道582-588號",97.98,27.22,1.434888121,NO,NO,NO,NO,NO,NONE,NONE,NONE,18,0,74,yes,yes,,
"KWUN TONG HARBOUR PLAZA, 182 WAI YIP STREET, Kwun Tong, Kowloon","觀塘碼頭廣場, 九龍觀塘偉業街182號",61.34,17.04,1.23146959,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,15,yes,,,
"Kwun Tong Plaza, 68 Hoi Yuen Rd, Kwun Tong, Kowloon","觀塘廣場, 九龍觀塘開源道68號",287.36,79.82,1.902111723,NO,YES,YES,YES,YES,2018,3/20/2020,retro_after,15,0,224,yes,,,
"Kwun Tong View, 410 Kwun Tong Road, Kwun Tong, Kowloon","觀點中心, 九龍觀塘觀塘道410號",514.51,142.92,2.155093008,NO,YES,NO,NO,YES,2012,2/4/2016,retro_after,24,0,37,yes,,,
"Kyoei Commercial Building, 3 HILLWOOD ROAD, Tsim Sha Tsui, Kowloon","協榮商業大廈, 九龍尖沙咀山林道3號",100.12,27.81,1.444200989,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,14,yes,yes,,
"L & D House, 2-4 Cameron Rd, Tsim Sha Tsui, Kowloon","利達行, 九龍尖沙咀金馬倫道2-4號",316.1,87.81,1.943543977,NO,NO,NO,NO,NO,NONE,NONE,NONE,15,0,15,yes,,,
"L'hart, 487-489 Lockhart Road, Wan Chai, Hong Kong","駱克駅, 香港灣仔駱克道487-489號",217,60.28,1.780173244,NO,NO,NO,NO,NO,NONE,NONE,NONE,29,0,12,yes,,,
"Lancashire Centre, 361 SHAU KEI WAN ROAD","利嘉中心, 筲箕灣道361號",359.83,99.95,1.999782798,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,35,yes,,,
"Landwide Commercial Building, 118-120 Austin Rd, Tsim Sha Tsui, Kowloon","業廣商業大廈, 九龍尖沙咀柯士甸道118-120號",99.16,27.54,1.439963936,NO,NO,NO,NO,NO,NONE,NONE,NONE,15,0,76,yes,yes,,
"Lee Chau Commercial Building, 11 Hart Ave, Tsim Sha Tsui, Kowloon","利就商業大廈, 九龍尖沙咀赫德道11號",47.68,13.24,1.121887985,NO,NO,NO,NO,NO,NONE,NONE,NONE,9,0,11,,yes,,
"Lee Fat Building, 30-36 Jardine's Crescent, Wan Chai, Hong Kong","利發大廈, 香港灣仔渣甸坊30-36號",1201.65,333.79,2.523473322,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,48,yes,yes,,
"Lee Kar Building, 4-4A Carnarvon Rd, Tsim Sha Tsui, Kowloon","利嘉大廈, 九龍尖沙咀加拿分道4-4A號",79.25,22.01,1.342620043,NO,NO,NO,NO,NO,NONE,NONE,NONE,19,0,49,yes,yes,,
"Lee Kiu Building, 51 Jordan Rd, Yau Ma Tei, Kowloon","利僑大廈, 九龍油麻地佐敦道51號",89.38,24.83,1.39497672,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,52,yes,,,
"LEE KONG COMMERCIAL BUILDING, 115 WOOSUNG STREET","利廣商業大廈, 吳松街115號",138.45,38.46,1.58500928,NO,NO,NO,NO,NO,NONE,NONE,NONE,11,0,11,yes,,,
"Lee Theatre Plaza, 99 Percival Street, Causeway Bay, Hong Kong","利舞臺廣場, 香港銅鑼灣波斯富街99號",503,139.72,2.145258577,NO,YES,YES,NO,YES,2018,1/31/2020,retro_after,22,0,25,yes,,,
"Lee Wai Commercial Building, 1-3 Hart Ave, Tsim Sha Tsui, Kowloon","利威商業大廈, 九龍尖沙咀赫德道1-3號",72.81,20.23,1.305995883,NO,NO,NO,YES,NO,2015,8/2/2019,retro_after,18,0,112,yes,yes,,
"Lee West Commercial Building, 375-379 Hennessy Road, Wan Chai, Hong Kong","利威商業大廈, 香港灣仔軒尼詩道375-379號",94.21,26.17,1.417803723,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,46,,,,
"Legend Tower, 7 Shing Yip Street, Kwun Tong, Kowloon","寧晉中心, 九龍觀塘成業街7號",195.45,54.29,1.734719842,NO,YES,NO,NO,NO,2012,4/22/2013,retro_before,36,0,288,yes,,,
"Leighton Centre, 77 Leighton Road, Causeway Bay, Hong Kong","禮頓中心, 香港銅鑼灣禮頓道77號",261,72.5,1.860338007,NO,YES,NO,YES,YES,2018,7/8/2020,retro_after,25,0,539,yes,,,
"Lily Mansions, Site 9, Whampoa Garden, 8 Tak Fung Street, Hung Hom, Kowloon","黃埔花園9期百合苑, 九龍紅磡德豐街8號",529.33,147.04,2.167435494,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,1,147,yes,,,yes
"Lin Fook House, 3 Jardine's Crescent, Wan Chai, Hong Kong","蓮福商業大廈, 香港灣仔渣甸坊3號",602.45,167.35,2.223625717,NO,NO,NO,NO,NO,NONE,NONE,NONE,12,0,25,yes,,,
"Lincoln House, 979 King's Road, Quarry Bay, Hong Kong","林肯大廈, 香港鰂魚涌英皇道979號",435,120.83,2.082174775,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,28,yes,,,
"Lippo Centre Tower 1 & Tower 2, 89 Queensway, Admiralty, Hong Kong","力寶中心第一座及第二座, 香港金鐘金鐘道89號",318.64,88.51,1.946992341,NO,NO,NO,NO,NO,NONE,NONE,NONE,46,0,240,yes,,,
"Lippo House (Causeway Bay Plaza, Phase 2), 463-483 Lockhart Road, Causeway Bay, Hong Kong","銅鑼灣廣場二期, 香港銅鑼灣駱克道463-483號",886,246.11,2.39112926,NO,YES,NO,NO,YES,2012,8/6/2015,retro_after,24,0,42,yes,,,
"Lippo Leighton Tower, 103-109 Leighton Road, Causeway Bay, Hong Kong","力寶禮頓大廈, 香港銅鑼灣禮頓道103-109號",372.62,103.51,2.014982309,NO,YES,NO,NO,NO,2012,6/15/2016,retro_after,23,0,30,yes,,,
"LIPPO SUN PLAZA, 28 CANTON ROAD, Tsim Sha Tsui, Kowloon","力寶太陽廣場, 九龍尖沙咀廣東道28號",472.7,131.31,2.118297801,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,0,180,yes,,,yes
"Lockhart Centre, 301-307 Lockhart Rd, Wan Chai, Hong Kong","洛克中心, 香港灣仔駱克道301-307號",178.27,49.52,1.694780636,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,46,yes,yes,,
"Lokville Commercial Building, 25-27 Lock Road, Tsim Sha Tsui, Kowloon","樂輝商業大廈, 九龍尖沙咀樂道25-27號",241.7,67.14,1.826981337,NO,NO,NO,NO,NO,NONE,NONE,NONE,27,0,52,yes,,,
"Lu Plaza, 2-4 WING YIP STREET, Kwun Tong, Kowloon","振萬廣場, 九龍觀塘榮業街2-4號",288.4,80.11,1.903686732,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,100,yes,,,
"Lucky Centre, 165-171 Wan Chai Rd, Wan Chai, Hong Kong","樂基中心, 香港灣仔灣仔道165-171號",204.35,56.76,1.754042387,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,70,yes,,,
"Lucky Plaza, 315-321 LOCKHART ROAD, Wan Chai, Hong Kong","駱基中心, 香港灣仔駱克道315-321號",344.9,95.81,1.98141084,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,25,yes,,,
"Luk Fook Jewellery Centre, 239 TEMPLE STREET, Jordan, Kowloon","六福珠寶中心, 九龍佐敦廟街239號",376.96,104.71,2.01998816,NO,NO,NO,NO,NO,NONE,NONE,NONE,18,0,102,yes,,,
"LUK KWOK CENTRE, 72 GLOUCESTER ROAD, Wan Chai, Hong Kong","六國中心, 香港灣仔告士打道72號",406.72,112.98,2.05300157,NO,NO,NO,NO,NO,NONE,NONE,NONE,32,0,21,yes,,,
"Macau Yat Yuen Centre, 525 HENNESSY ROAD","澳門逸園中心, 軒尼詩道525號",3392,942.22,2.974152319,NO,NO,NO,NO,NO,NONE,NONE,NONE,30,1,30,yes,,,
"Malaysia Building, 47-50 Gloucester Road, Wan Chai, Hong Kong","馬來西亞大厦, 香港灣仔告士打道47-50號",202.09,56.14,1.749272408,NO,NO,NO,NO,YES,2012,3/28/2013,retro_before,26,0,38,yes,,,
"Man Man Mansion, 45 Jardine's Bazaar, Wan Chai, Hong Kong","人人商業大廈, 香港灣仔渣甸街45號",100.15,27.82,1.444357126,NO,NO,NO,NO,NO,NONE,NONE,NONE,15,0,30,yes,yes,,
"Mandarin Commercial House, 38 Morrison Hill Rd, Wan Chai, Hong Kong","文華商業大廈, 香港灣仔摩理臣山道38號",102.37,28.44,1.453929592,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,13,yes,yes,,
"Mangan Building, 18-20 Cameron Rd, Tsim Sha Tsui, Kowloon","萬勤商業大廈, 九龍尖沙咀金馬倫道18-20號",112.64,31.29,1.495405563,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,35,yes,,,
"MANLY COMMERCIAL BUILDING, 15 SOY STREET","萬利商業大廈, 豉油街15號",90.12,25.03,1.39846085,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,69,yes,yes,,
"Manson House, 74-78 Nathan RoadKowloon","文遜大廈, 九龍彌敦道74-78號",349.51,97.09,1.987174501,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,18,yes,,,
"Manulife Financial Centre, 223 Wai Yip Street, Kwun Tong, Kowloon","宏利金融中心, 九龍觀塘偉業街223號",564.27,156.74,2.195179842,NO,YES,NO,NO,YES,2018,9/11/2020,retro_after,21,2,0,yes,,,
"Marble Place, 2H MARBLE ROAD","馬寶居, 馬寶道2H號",441,122.5,2.088136089,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,52,yes,yes,,
"Marina House, 68 Hing Man Street, Shau Kei Wan, Hong Kong","海天廣場, 香港筲箕灣興民街68號",156.6,43.5,1.638489257,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,118,yes,,,
"Mary Building, 71-77 Peking RoadKowloon","誠信大廈, 九龍北京道71-77號",109.98,30.55,1.485011215,NO,NO,NO,NO,NO,NONE,NONE,NONE,10,0,23,yes,,,
"Mass Resources Development Building, 12 Humphreys Avenue, Tsim Sha Tsui, Kowloon","宏貿發展大廈, 九龍尖沙咀堪富利士道12號",494.5,137.36,2.137860282,NO,NO,NO,NO,NO,NONE,NONE,NONE,18,0,74,yes,yes,,
"Mau Lam Commercial Building, 16-18 Mau Lam St, Yau Ma Tei, Kowloon","茂林商業大廈, 九龍油麻地茂林街16-18號",107.27,29.8,1.474216264,NO,NO,NO,NO,NO,NONE,NONE,NONE,12,0,12,yes,yes,,
"MAX COMMERCIAL CENTRE, 138 PORTLAND STREET","名成商業中心, 砵蘭街138號",96.57,26.83,1.428620673,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,23,yes,yes,,
"Max Share Centre, 367-373 KING'S ROAD","上潤中心, 英皇道367-373號",273.8,76.06,1.881156321,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,92,yes,yes,,
"Maxwell Centre, 39-41 Hankow Road, Tsim Sha Tsui, Kowloon","麥仕維中心, 九龍尖沙咀漢口道39-41號",149.39,41.5,1.618048097,NO,YES,NO,NO,YES,2012 (rev.1),10/5/2015,retro_after,15,0,22,yes,,,
"May Gar Commercial Building, 288-290 Reclamation St, Yau Ma Tei, Kowloon","美嘉商業大廈, 九龍油麻地新填地街288-290號",135.51,37.64,1.575649615,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,14,,yes,,
"McDonald's Building, 46-54 Yee Wo Street, Causeway Bay, Hong Kong","麥當勞大廈, 香港銅鑼灣怡和街46-54號",506.11,140.59,2.147954431,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,80,yes,,,yes
"Methodist House, 36 Hennessy Road, Wan Chai, Hong Kong","循道衛理大廈, 香港灣仔軒尼詩道36號",397.22,110.34,2.04273298,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,1,13,yes,,,
"Metropole Building, 53-63 Peking Road, Tsim Sha Tsui, Kowloon","國都大廈, 九龍尖沙咀北京道53-63號",114.33,31.76,1.501880494,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,80,yes,yes,,
"MG Tower, 133 Hoi Bun Road, Kwun Tong, Kowloon","萬兆豐中心, 九龍觀塘海濱道133號",146.99,40.83,1.61097938,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,0,yes,,,
"Millennium City  I - Tower 1, Kwun Tong Road 388, Kwun Tong, Kowloon","創紀之城1期 - 第一座, 九龍觀塘觀塘道388號",360.37,100.1,2.000434077,NO,YES,NO,NO,NO,2018,8/18/2020,retro_after,34,0,540,yes,,,
"Millennium City 6, 392 Kwun Tong Road, Kwun Tong, Kowloon","創紀之城6期, 九龍觀塘觀塘道392號",599.6,166.56,2.221570712,NO,NO,NO,NO,NO,2018,6/1/2021,retro_after,32,0,27,yes,,,
"Minden House, 13-15 Minden Ave, Tsim Sha Tsui, Kowloon","棉登大廈, 九龍尖沙咀棉登徑13-15號",82.09,22.8,1.357934847,NO,NO,NO,NO,NO,NONE,NONE,NONE,15,0,33,,yes,,
"Mirador Mansion, 54-68 Nathan Road Kowloon","美麗都大廈, 九龍彌敦道54-68號",28.35,7.88,0.896526217,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,0,674,,yes,,
"MIRAGE TOWER, 15 THOMSON ROAD","萬利中心, 譚臣道15號",145.89,40.53,1.607776604,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,22,yes,,,
"Miramar Shopping Centre & Miramar Tower, 132-134 Nathan Raod & 1-23 Kimberley Road, Tsim Sha Tsui, Kowloon","美麗華商場及美麗華大廈, 九龍尖沙咀彌敦道132-134 及金巴道1-23",726.55,201.82,2.304964202,NO,NO,NO,NO,NO,NONE,NONE,NONE,18,0,531,yes,,,
"Mirror Tower, 61 Mody Rd, Tsim Sha Tsui, Kowloon","冠華中心, 九龍尖沙咀麼地道61號",503.16,139.77,2.145413965,NO,YES,NO,NO,NO,2015,7/6/2019,retro_after,13,0,100,yes,,,
"Monarch House II, 501-503 Hennessy Road, Causeway Bay, Hong Kong","大華商業大廈, 香港銅鑼灣軒尼詩道501-503號",538.74,149.65,2.175076721,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,yes,,,
"Mongkok Metro, 594-596 Nathan Rd, Mong Kok, Kowloon","旺角新城, 九龍旺角彌敦道594-596號",467.69,129.91,2.113642583,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,22,yes,,,
"Morecrown Commercial Building, 108 ELECTRIC ROAD, North Point, Hong Kong","冠貿商業大廈, 香港北角電氣道108號",111.4,30.94,1.490520309,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,52,yes,,,
"Morning Light Building, 7-9 Hong Ning Rd, Ngau Tau Kok, Kowloon","晨光大廈, 九龍牛頭角康寧道7-9號",76.87,21.35,1.329397879,NO,NO,NO,NO,NO,NONE,NONE,NONE,12,0,46,,yes,,
"Morrison Commercial Building, 31 MORRISON HILL ROAD","摩利臣商業大廈, 摩理臣山道31號",70.53,19.59,1.292034436,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,24,,yes,,
"Morrison Plaza, 5-9 MORRISON HILL ROAD","天樂廣場, 摩理臣山道5-9號",343.2,95.33,1.979229593,NO,NO,NO,NO,NO,NONE,NONE,NONE,36,0,72,yes,,,
"MULTIFIELD CENTRE, 422-426 SHANGHAI STREET","萬事昌中心, 上海街422-426號",116.1,32.25,1.508529719,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,24,,,,
"Multifield Plaza, 3-7A Prat Avenue","萬事昌廣場, 寶勤巷3-7A號",609.8,169.39,2.228887768,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,103,yes,,,
"NAM HING FONG, 39 YIU WA STREET, Causeway Bay, Hong Kong","南慶坊, 香港銅鑼灣耀華街39號",119.01,33.06,1.519302849,NO,NO,NO,NO,NO,NONE,NONE,NONE,18,0,18,,,,
"Nan On Commercial Building, 69A Wuhu Street, Hung Hom, Kowloon","南安商業大廈, 九龍紅磡蕪湖街69A號",100.95,28.04,1.447778009,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,41,yes,yes,,
"NANYANG PLAZA, 57 HUNG TO ROAD, Kwun Tong, Kowloon","南洋廣場, 九龍觀塘鴻圖道57號",261.97,72.77,1.861952375,NO,NO,NO,NO,NO,NONE,NONE,NONE,30,0,130,yes,,,
"Nathan Centre, 580G-580K Nathan Rd, Mong Kok, Kowloon","彌敦中心, 九龍旺角彌敦道580G-580K號",447.07,124.19,2.094086627,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,1,109,yes,yes,,
"NATHAN COMMERCIAL BUILDING, 430-436 NATHAN ROAD, Yau Ma Tei, Kowloon","彌敦商務大廈, 九龍油麻地彌敦道430-436號",422.72,117.42,2.069742076,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,95,yes,,,
"Nathan Tower, 518-520 Nathan Rd, Yau Ma Tei, Kowloon","彌敦行, 九龍油麻地彌敦道518-520號",178.95,49.71,1.696443763,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,63,yes,,,
"Neich Tower, 124-131 Gloucester Road, Wan Chai, Hong Kong","祥豐大廈, 香港灣仔告士打道124-131號",340.14,94.48,1.975339885,NO,NO,NO,NO,NO,NONE,NONE,NONE,27,0,60,yes,,,
"New East Ocean Centre, 9 Science Museum Road, Tsim Sha Tsui, Kowloon","新東海中心, 九龍尖沙咀科學館道9號",452.52,125.7,2.099335278,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,144,yes,,,
"NEW LANDWIDE COMMERCIAL BUILDING, 73 KIMBERLEY ROAD","新業廣商業大廈, 金巴利道73號",361.53,100.43,2.001863463,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,0,82,yes,,,
"New Trend Plaza, 278-288 King's Road, North Point, Hong Kong","新時代廣場, 香港北角英皇道278-288號",657.95,182.76,2.261881149,NO,NO,NO,NO,NO,NONE,NONE,NONE,2,0,156,yes,,,yes
"No. 37 Dundas Street, 37 Dundas Street, Mong Kok, Kowloon",九龍旺角登打士街37號,49.47,13.74,1.137986733,NO,NO,NO,NO,NO,NONE,NONE,NONE,10,0,10,yes,yes,,
"North Cape Commercial Building, 388 KING'S ROAD, North Point, Hong Kong","北港商業大廈, 香港北角英皇道388號",158,43.89,1.642365581,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,46,yes,,,
"North Point Asia-Pac Commercial Centre, 10 NORTH POINT ROAD","北角亞太廣場, 北角道10號",203.54,56.54,1.752355804,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,104,yes,,,
"Oak Mansions, Site 5, Whampoa Garden, 7 Tak Fung Street, Hung Hom, Kowloon","黃埔花園5期青樺苑, 九龍紅磡德豐街7號",441.63,122.68,2.088773767,NO,YES,NO,NO,YES,2015,1/16/2018,retro_after,16,2,120,yes,,,yes
"OCEAN BUILDING, 80 SHANGHAI STREET, Jordan, Kowloon","華海廣場, 九龍佐敦上海街80號",400.4,111.22,2.046182891,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,106,yes,,,
"Ocean Terminal, 3-27 Canton Road, Tsim Sha Tsui, Kowloon","海運大廈, 九龍尖沙咀廣東道3-27號",455.72,126.59,2.1023994,NO,YES,NO,YES,YES,2018,7/8/2020,retro_after,6,0,81,yes,,,
"Odeon Building, 28 Shu Kuk St, North Point, Hong Kong","國賓大廈, 香港北角書局街28號",88.69,24.64,1.391640703,NO,NO,NO,YES,NO,2018,9/8/2020,retro_after,23,2,292,yes,yes,,
"OLYMPIA PLAZA, 225 KING'S ROAD, North Point, Hong Kong","國都廣場, 香港北角英皇道225號",232.73,64.65,1.810568529,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,25,yes,,,
"OMEGA PLAZA, 32 DUNDAS STREET, Mong Kok, Kowloon","歐美廣場, 九龍旺角登打士街32號",330.15,91.71,1.962416693,NO,NO,NO,NO,NO,NONE,NONE,NONE,27,0,88,yes,,,
"On Hong Commercial Building, 145 Hennessy Rd, Wan Chai, Hong Kong","安康商業大廈, 香港灣仔軒尼詩道145號",106.02,29.45,1.469085299,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,56,yes,,,
"On Lee Building, 545-0 Nathan RoadKowloon","安利大廈, 九龍彌敦道545-0號",119.51,33.2,1.521138084,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,14,yes,,,
"On Loong Commercial Building, 276-278 Lockhart Rd, Wan Chai, Hong Kong","安隆商業大廈, 香港灣仔駱克道276-278號",296.24,82.29,1.915347062,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,44,yes,,,
"On Yip Building, 395-397 Shanghai St, Yau Ma Tei","安業商業大廈, 油麻地上海街395-397號",145.81,40.5,1.607455023,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,28,yes,yes,,
"ONE CAPITAL PLACE, LUARD ROAD","海德中心, 盧押道",410,113.89,2.056485593,NO,NO,NO,NO,NO,NONE,NONE,NONE,26,0,50,yes,,,
"One Hysan Avenue, 1 Hysan Avenue, Causeway Bay, Hong Kong","希慎道一號, 香港銅鑼灣希慎道1號",396,110,2.041392685,NO,NO,NO,YES,NO,2015,6/27/2019,retro_after,22,0,80,yes,,,
"One Island East, 18 Westlands Road, Quarry Bay, Hong Kong","港島東中心, 香港鰂魚涌華蘭路18號",438,121.67,2.085183508,NO,YES,NO,NO,YES,2018,6/15/2021,retro_after,68,2,0,yes,,,
"One Pacific Place, 88 Queensway, Admiralty, Hong Kong","太古廣場一座, 香港金鐘金鐘道88號",318.2,88.39,1.946403134,NO,YES,NO,YES,NO,2018,9/27/2021,retro_after,46,0,73,yes,,,
"One Peking, 1 Peking Road, Tsim Sha Tsui, Kowloon",九龍尖沙咀北京道1號,793.46,220.41,2.343231295,NO,YES,NO,NO,YES,2018,9/21/2020,retro_after,30,0,30,yes,,,
"Onward Building, 528 Nathan Rd, Yau Ma Tei, Kowloon","康祐大廈, 九龍油麻地彌敦道528號",448.28,124.52,2.095239112,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,26,yes,,,
"Opulent Building, 402-406 Hennessy Rd, Wan Chai, Hong Kong","德興大廈, 香港灣仔軒尼詩道402-406號",255.13,70.87,1.850462433,NO,NO,YES,YES,NO,2015,11/18/2016,retro_after,23,0,180,yes,,,
"Oriental Centre, 67-71 Chatham Rd S, Tsim Sha Tsui, Kowloon","安年大廈, 九龍尖沙咀漆咸道南67-71號",83.21,23.11,1.363799945,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,0,85,yes,yes,,
"ORIENTAL CRYSTAL FINANCE CENTRE, 107-109 CHATHAM ROAD SOUTH","中晶金融中心, 漆咸道南107-109號",363,100.83,2.003589767,NO,NO,NO,NO,NO,NONE,NONE,NONE,19,0,20,yes,,,
"Overseas Trust Bank Building (O.T.B. Building), 160 Gloucester Rd, Wan Chai, Hong Kong","海外信託銀行大廈, 香港灣仔告士打道160號",325.96,90.54,1.95684049,NO,NO,NO,NO,NO,NONE,NONE,NONE,27,0,27,yes,yes,,
"Oxford Commercial Building, 494-496 Nathan Rd, Yau Ma Tei, Kowloon","晉利商業大廈, 九龍油麻地彌敦道494-496號",125.86,34.96,1.543571424,NO,NO,NO,NO,NO,NONE,NONE,NONE,24,0,24,yes,,,
"Pacific Star Building, 2 Canton Rd, Yau Ma Tei, Kowloon","海星大廈, 九龍油麻地廣東道2號",500.53,139.04,2.143139759,NO,NO,NO,YES,NO,2012,11/18/2014,retro_after,11,0,15,yes,,,
"Pak Shing Building, 75 Parkes St, Yau Ma Tei, Kowloon","百誠大廈, 九龍油麻地白加士街75號",37.78,10.49,1.020775488,NO,NO,NO,NO,NO,NONE,NONE,NONE,18,0,93,yes,yes,,
"Pakpolee Commercial Centre, 1A Sai Yeung Choi St S, Mong Kok, Kowloon","百寶利商業大廈, 九龍旺角西洋菜南街1A號",138.86,38.57,1.586249639,NO,NO,NO,NO,NO,NONE,NONE,NONE,20,0,49,yes,,,
"Palm Mansions, Site 4, Whampoa Garden, 7 Shung King Street, Hung Hom, Kowloon","黃埔花園4期棕櫚苑, 九龍紅磡船景街7號",542.44,150.68,2.178055612,NO,NO,NO,NO,NO,2012,2/12/2014,retro_after,16,1,130,yes,,,yes
"PARADISE SQUARE, 3 KWONG WA STREET","百利達廣場, 廣華街3號",90.48,25.13,1.400192489,NO,NO,NO,NO,NO,NONE,NONE,NONE,37,1,287,yes,yes,,
"PARK AVENUE TOWER, 5 MORETON TERRACE, Causeway Bay, Hong Kong","百富中心, 香港銅鑼灣摩頓臺5號",62.01,17.23,1.236285277,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,50,yes,,,yes
"Park Central (Shopping Centre & Carpark), 9 Tong Tak Street, Tseung Kwan O, New Territories","將軍澳中心, 新界將軍澳唐德街9號",445.78,123.83,2.092825873,NO,NO,NO,NO,NO,NONE,NONE,NONE,4,0,106,yes,,,yes
"Park Commercial Centre, 180 Tung Lo Wan Road, Tin Hau, Hong Kong","百樂商業中心, 香港天后銅鑼灣道180號",323.67,89.91,1.953807998,NO,NO,NO,NO,NO,2012 (rev.1),2/17/2016,retro_after,19,0,60,yes,,,
"Park Hovan Commercial Building, 18 HILLWOOD ROAD","栢豪商業大廈, 山林道18號",72.62,20.17,1.304705898,NO,NO,NO,NO,NO,NONE,NONE,NONE,16,0,16,yes,yes,,
"Park Tower, 11-15 Austin Road, Tsim Sha Tsui, Kowloon","百達行, 九龍尖沙咀柯士甸道11-15號",293.91,81.64,1.911902996,NO,NO,NO,NO,NO,NONE,NONE,NONE,17,0,68,yes,,,
