full_addr_,full_addr1,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
"Hang Lung Building, 229-231 Wing Lok Street, Sheung Wan, Hong Kong","亨隆大廈, 香港上環永樂街229-231號",123.93,34.43,1.536937023,NO,NO,NO,NO,NO,NONE,NONE,NONE,6,0,7,,,,
"Hang Lung House, 184-192 Queen's Road CentralHong Kong","恒隆大廈 , 香港皇后大道中184-192號",48.38,13.44,1.128399269,NO,NO,NO,NO,NO,NONE,NONE,NONE,25,0,120,yes,yes,,
"Hang Seng Bank Headquarters Building, 83 Des Voeux Road Central, Central, Hong Kong","恒生銀行總行大廈, 香港中環德輔道中83號",943,261.94,2.418201823,NO,YES,YES,YES,NO,2018,6/23/2020,retro_after,27,0,1,yes,,,
"Hang Shun BuildingÂ , 12-0 Wyndham StreetHong Kong","恒信大廈 , 香港雲咸街12-0號",70.13,19.48,1.289588953,NO,NO,NO,NO,NO,NONE,NONE,NONE,8,0,16,,,,
"Harbour Commercial Building, 122-124 Connaught Rd C, Sheung Wan, Hong Kong","海港商業大廈, 香港上環干諾道中122-124號",95.33,26.48,1.422917981,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,43,yes,yes,,
"Harvest Building, 29-37 Wing Kut St, Sheung Wan, Hong Kong","恆豐大廈, 香港上環永吉街29-37號",85.74,23.82,1.376941757,NO,NO,NO,NO,NO,NONE,NONE,NONE,19,0,80,,yes,,
"Heep Kee Commercial Building, 205-211 Wing Lok St, Sheung Wan, Hong Kong","協基商業大廈, 香港上環永樂街205-211號",73.8,20.5,1.311753861,NO,NO,NO,YES,NO,2015,1/24/2017,retro_after,16,0,51,yes,yes,,
"Henley Building, 5 QUEEN'S ROAD CENTRAL","衡怡大廈, 皇后大道中5號",690.9,191.92,2.283120235,NO,NO,NO,NO,NO,NONE,NONE,NONE,34,1,40,yes,,,
"Heung Lam Building, 23-0 Connaught Road Central ML 368 SBHong Kong","香林大廈 , 香港干諾道中23-0號",124.85,34.68,1.540079089,NO,NO,NO,NO,NO,NONE,NONE,NONE,8,0,8,yes,,,
"Hillier Commercial Building, 65-67 Bonham Strand, Central, Hong Kong","喜利商業大廈, 香港中環文咸東街65-67號",91.42,25.39,1.404662701,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,46,yes,,,
"HILLTOP PLAZA, 49-51 HOLLYWOOD ROAD","鴻豐商業中心, 荷李活道49-51號",76.06,21.13,1.324899497,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,41,yes,,,
"Hing Lee Building, 72-74 Des Voeux Rd W, Sheung Wan, Hong Kong","興利大廈, 香港上環德輔道西72-74號",59.65,16.57,1.219322508,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,0,26,yes,,,
"Hing Tai Commercial Building, 2 Tung Loi Lane, Central, Hong Kong","興泰商業大廈, 香港中環東來里2號",131.5,36.53,1.562649672,NO,NO,NO,NO,NO,NONE,NONE,NONE,11,0,22,yes,,,
"Hing Wai Building, 36 Queen's Road Central, Central, Hong Kong","興瑋大廈, 香港中環皇后大道中36號",718.21,199.5,2.2999429,NO,YES,NO,NO,NO,2012 (rev.1),4/23/2016,retro_after,23,0,46,yes,,,
"Hing Yip Commercial Centre, 272-284 Des Voeux Road Central, Sheung Wan, Hong Kong","興業商業中心, 香港上環德輔道中272-284號",309.78,86.05,1.934750875,NO,NO,NO,NO,NO,NONE,NONE,NONE,23,0,115,yes,yes,,
